country,year,iso_code,population,gdp,biofuel_electricity,biofuel_share_elec,coal_electricity,coal_share_elec,gas_electricity,gas_share_elec,hydro_electricity,hydro_share_elec,nuclear_electricity,nuclear_share_elec,oil_electricity,oil_share_elec,solar_electricity,solar_share_elec,wind_electricity,wind_share_elec
Argentina,2000,ARG,37070772,5.36E+11,0.39,0.438,1.78,2,48.88,54.934,28.58,32.12,6.18,6.945,3.14,3.529,0,0,0.03,0.034
Argentina,2001,ARG,37480492,5.15E+11,0.36,0.399,1.36,1.509,43.26,47.992,36.58,40.581,7.06,7.832,1.47,1.631,0,0,0.05,0.055
Argentina,2002,ARG,37885024,4.61E+11,0.53,0.627,0.81,0.958,40.71,48.126,35.78,42.298,5.82,6.88,0.87,1.028,0,0,0.07,0.083
Argentina,2003,ARG,38278164,5.03E+11,0.88,0.956,0.94,1.021,47.75,51.863,33.8,36.711,7.57,8.222,1.05,1.14,0,0,0.08,0.087
Argentina,2004,ARG,38668796,5.5E+11,0.87,0.868,1.68,1.676,55.21,55.067,30.46,30.381,7.87,7.85,4.1,4.089,0,0,0.07,0.07
Argentina,2005,ARG,39070504,6.01E+11,0.92,0.87,2.18,2.061,55.7,52.671,34.22,32.359,6.87,6.496,5.79,5.475,0,0,0.07,0.066
Argentina,2006,ARG,39476856,6.52E+11,1.05,0.926,1.99,1.754,56.4,49.722,38.02,33.518,7.72,6.806,8.18,7.211,0,0,0.07,0.062
Argentina,2007,ARG,39876116,7.15E+11,1.07,0.943,2.34,2.061,60.18,53.013,31.22,27.502,7.25,6.387,11.4,10.042,0,0,0.06,0.053
Argentina,2008,ARG,40273768,7.47E+11,1.21,0.993,1.94,1.591,65.41,53.654,31.2,25.593,7.39,6.062,14.72,12.074,0,0,0.04,0.033
Argentina,2009,ARG,40684344,7.06E+11,1.19,0.973,1.75,1.431,61.7,50.441,34.62,28.303,8.18,6.687,14.84,12.132,0,0,0.04,0.033
Argentina,2010,ARG,41100124,7.86E+11,1.38,1.095,3.01,2.389,63.81,50.643,33.36,26.476,7.21,5.722,17.2,13.651,0,0,0.03,0.024
Argentina,2011,ARG,41520736,8.38E+11,1.39,1.073,2.91,2.247,67.86,52.406,31.19,24.087,6.4,4.942,19.71,15.221,0,0,0.03,0.023
Argentina,2012,ARG,41952364,8.29E+11,1.45,1.066,2.64,1.941,76.23,56.043,29.16,21.438,6.4,4.705,19.76,14.527,0.01,0.007,0.37,0.272
Argentina,2013,ARG,42388268,8.49E+11,1.53,1.097,2.38,1.707,74.7,53.568,32.77,23.499,6.21,4.453,21.39,15.339,0.02,0.014,0.45,0.323
Argentina,2014,ARG,42824064,8.28E+11,1.48,1.068,2.54,1.833,76.16,54.973,32.42,23.401,5.51,3.977,19.79,14.285,0.02,0.014,0.62,0.448
Argentina,2015,ARG,43257064,8.5E+11,1.49,1.025,2.39,1.644,79.11,54.401,32.34,22.239,7.04,4.841,22.45,15.438,0.01,0.007,0.59,0.406
Argentina,2016,ARG,43668236,8.33E+11,1.18,0.802,1.93,1.311,84.28,57.263,29.75,20.213,8.28,5.626,21.2,14.404,0.01,0.007,0.55,0.374
Argentina,2017,ARG,44054616,8.56E+11,1.46,1.003,2.01,1.38,91.21,62.64,31.59,21.695,6.09,4.182,12.62,8.667,0.02,0.014,0.61,0.419
Argentina,2018,ARG,44413592,8.34E+11,1.42,0.967,2.03,1.383,95.35,64.961,32.28,21.992,6.87,4.68,7.31,4.98,0.11,0.075,1.41,0.961
Argentina,2019,ARG,44745516,8.17E+11,1.48,1.061,1.17,0.839,91.31,65.441,27.5,19.709,8.44,6.049,3.83,2.745,0.8,0.573,5,3.583
Argentina,2020,ARG,45036032,7.36E+11,2.2,1.521,1.64,1.134,88.72,61.338,23.67,16.365,10.01,6.921,7.65,5.289,1.34,0.926,9.41,6.506
Argentina,2021,ARG,45276788,8.12E+11,2.25,1.469,2.38,1.554,89.93,58.72,19.65,12.831,10.17,6.641,13.63,8.9,2.2,1.437,12.94,8.449
Argentina,2022,ARG,45510324,8.55E+11,2.34,1.551,2.14,1.419,80.42,53.318,23.89,15.839,7.47,4.953,17.47,11.583,2.94,1.949,14.16,9.388
Australia,2000,AUS,19017968,6.92E+11,0.89,0.41,180.26,83.134,16.76,7.73,16.47,7.596,0,0,2.27,1.047,0.05,0.023,0.13,0.06
Australia,2001,AUS,19248146,7.14E+11,0.8,0.357,179.88,80.21,24.5,10.925,16.12,7.188,0,0,2.62,1.168,0.05,0.022,0.29,0.129
Australia,2002,AUS,19475842,7.47E+11,1.27,0.568,171.86,76.898,30.55,13.67,16.09,7.199,0,0,3.13,1.401,0.06,0.027,0.53,0.237
Australia,2003,AUS,19699004,7.74E+11,1.69,0.748,173.61,76.836,30.15,13.344,16.21,7.174,0,0,3.53,1.562,0.06,0.027,0.7,0.31
Australia,2004,AUS,19925060,8.1E+11,2.82,1.23,178.96,78.07,27.36,11.936,15.69,6.845,0,0,3.53,1.54,0.07,0.031,0.8,0.349
Australia,2005,AUS,20171732,8.4E+11,3.87,1.677,182.98,79.301,23.26,10.081,15.47,6.705,0,0,3.78,1.638,0.08,0.035,1.3,0.563
Australia,2006,AUS,20467032,8.67E+11,3.93,1.651,185.76,78.054,27.29,11.467,14.95,6.282,0,0,3.8,1.597,0.1,0.042,2.16,0.908
Australia,2007,AUS,20830832,9.11E+11,4.28,1.76,185.49,76.274,33.4,13.734,13.05,5.366,0,0,4.01,1.649,0.11,0.045,2.85,1.172
Australia,2008,AUS,21247876,9.38E+11,3.7,1.508,184.24,75.084,36.31,14.797,11.82,4.817,0,0,5.71,2.327,0.14,0.057,3.46,1.41
Australia,2009,AUS,21660898,9.63E+11,2.79,1.116,182.02,72.837,41.12,16.455,12.64,5.058,0,0,6.6,2.641,0.29,0.116,4.44,1.777
Australia,2010,AUS,22019166,9.94E+11,2.44,0.972,176.02,70.136,46.79,18.644,13.75,5.479,0,0,6,2.391,0.98,0.39,4.99,1.988
Australia,2011,AUS,22357032,1.02E+12,2.57,1.003,171.98,67.106,48.78,19.034,19.57,7.636,0,0,4.91,1.916,2.04,0.796,6.43,2.509
Australia,2012,AUS,22729272,1.06E+12,3.1,1.237,165.38,65.978,49.81,19.872,17.04,6.798,0,0,5.2,2.075,2.41,0.961,7.72,3.08
Australia,2013,AUS,23111788,1.09E+12,3.33,1.334,155.45,62.29,52.72,21.125,19.09,7.649,0,0,5.86,2.348,3.85,1.543,9.26,3.711
Australia,2014,AUS,23469578,1.11E+12,3.55,1.433,155.23,62.681,53.66,21.668,14.48,5.847,0,0,6,2.423,4.95,1.999,9.78,3.949
Australia,2015,AUS,23820240,1.14E+12,3.68,1.449,162.2,63.861,49.71,19.572,14.09,5.547,0,0,6.28,2.473,6.2,2.441,11.83,4.658
Australia,2016,AUS,24195706,1.17E+12,3.63,1.406,162.36,62.874,48.11,18.631,17.63,6.827,0,0,6.02,2.331,7.44,2.881,13.04,5.05
Australia,2017,AUS,24590336,1.2E+12,3.56,1.375,159.17,61.463,55.09,21.273,13.5,5.213,0,0,5.52,2.132,8.92,3.444,13.21,5.101
Australia,2018,AUS,24979228,1.23E+12,3.59,1.367,156.56,59.612,51.46,19.594,17.31,6.591,0,0,5.12,1.95,12.33,4.695,16.26,6.191
Australia,2019,AUS,25357168,1.26E+12,3.47,1.305,149.84,56.352,55.71,20.951,14.02,5.273,0,0,5.09,1.914,18.3,6.882,19.47,7.322
Australia,2020,AUS,25670052,1.23E+12,3.41,1.286,142.93,53.891,53.12,20.029,14.42,5.437,0,0,4.89,1.844,23.84,8.989,22.61,8.525
Australia,2021,AUS,25921094,1.3E+12,3.34,1.249,137.4,51.374,47.63,17.809,15.94,5.96,0,0,5.15,1.926,31.19,11.662,26.8,10.021
Australia,2022,AUS,26177410,1.34E+12,3.25,1.188,130.93,47.863,46.29,16.922,17.12,6.258,0,0,5.47,2,38.84,14.199,31.65,11.57
Brazil,2000,BRA,175873712,1.74E+12,7.86,2.253,10.93,3.132,4.07,1.166,304.4,87.238,6.05,1.734,15.62,4.477,0,0,0,0
Brazil,2001,BRA,178211888,1.79E+12,9.02,2.745,11.08,3.372,9.92,3.019,267.88,81.534,14.28,4.346,16.34,4.973,0,0,0.03,0.009
Brazil,2002,BRA,180476688,1.86E+12,10.27,2.971,9.12,2.638,12.41,3.59,286.09,82.752,13.84,4.003,13.93,4.029,0,0,0.06,0.017
Brazil,2003,BRA,182629280,1.9E+12,11.94,3.277,9.01,2.473,13.11,3.598,305.62,83.872,13.36,3.666,11.29,3.098,0,0,0.06,0.016
Brazil,2004,BRA,184722048,2.04E+12,12.52,3.231,10.37,2.676,19.26,4.97,320.8,82.789,11.61,2.996,12.87,3.321,0,0,0.06,0.015
Brazil,2005,BRA,186797344,2.13E+12,13.64,3.384,10.68,2.65,18.81,4.667,337.46,83.722,9.85,2.444,12.54,3.111,0,0,0.09,0.022
Brazil,2006,BRA,188820688,2.24E+12,14.85,3.54,10.47,2.496,18.26,4.353,348.8,83.157,13.75,3.278,13.08,3.118,0,0,0.24,0.057
Brazil,2007,BRA,190779456,2.41E+12,18.06,4.057,10.08,2.264,15.5,3.482,374.02,84.021,12.35,2.774,14.48,3.253,0,0,0.66,0.148
Brazil,2008,BRA,192672320,2.56E+12,19.79,4.273,11.96,2.582,28.78,6.214,369.56,79.788,13.97,3.016,17.94,3.873,0,0,1.18,0.255
Brazil,2009,BRA,194517552,2.59E+12,22.88,4.908,9.97,2.139,13.33,2.859,390.99,83.873,12.96,2.78,14.8,3.175,0,0,1.24,0.266
Brazil,2010,BRA,196353504,2.82E+12,31.94,6.192,11.29,2.189,36.48,7.073,403.29,78.187,14.52,2.815,16.1,3.121,0,0,2.18,0.423
Brazil,2011,BRA,198185296,2.97E+12,32.63,6.136,12.6,2.369,25.1,4.72,428.33,80.549,15.66,2.945,14.74,2.772,0,0,2.7,0.508
Brazil,2012,BRA,199977712,3.03E+12,35.77,6.474,14.47,2.619,46.76,8.463,415.34,75.175,16.04,2.903,19.07,3.452,0,0,5.05,0.914
Brazil,2013,BRA,201721776,3.12E+12,40.97,7.177,21.97,3.849,69,12.088,390.99,68.495,15.45,2.707,25.87,4.532,0,0,6.58,1.153
Brazil,2014,BRA,203459648,3.13E+12,47.08,7.972,26.9,4.555,81.07,13.728,373.44,63.236,15.38,2.604,34.45,5.834,0.02,0.003,12.21,2.068
Brazil,2015,BRA,205188208,3.02E+12,49.88,8.582,26.98,4.642,79.49,13.676,359.74,61.894,14.73,2.534,28.71,4.94,0.06,0.01,21.63,3.721
Brazil,2016,BRA,206859584,2.92E+12,51.33,8.867,25.67,4.434,56.48,9.757,380.91,65.8,15.86,2.74,15.06,2.602,0.09,0.016,33.49,5.785
Brazil,2017,BRA,208504960,2.96E+12,52.91,8.978,22.85,3.877,65.59,11.13,370.91,62.939,15.74,2.671,18.12,3.075,0.83,0.141,42.37,7.19
Brazil,2018,BRA,210166592,3.01E+12,54.38,9.042,20.8,3.459,54.62,9.082,388.97,64.678,15.67,2.606,15.01,2.496,3.46,0.575,48.48,8.061
Brazil,2019,BRA,211782880,3.05E+12,54.92,8.672,21.68,3.423,65.96,10.415,397.88,62.823,16.13,2.547,14.12,2.229,6.65,1.05,55.99,8.841
Brazil,2020,BRA,213196304,2.95E+12,58.74,9.342,17.75,2.823,59.48,9.46,396.38,63.042,14.05,2.235,14.56,2.316,10.75,1.71,57.05,9.073
Brazil,2021,BRA,214326224,3.1E+12,55.72,8.492,24.24,3.695,86.96,13.254,362.82,55.299,14.7,2.24,22.63,3.449,16.75,2.553,72.29,11.018
Brazil,2022,BRA,215313504,3.19E+12,52.77,7.793,16.46,2.431,42.11,6.219,427.11,63.073,14.56,2.15,12.4,1.831,30.13,4.449,81.63,12.055
Canada,2000,CAN,30683316,1.14E+12,8.92,1.477,116.23,19.249,35.83,5.934,356.76,59.084,72.29,11.972,13.51,2.237,0.02,0.003,0.26,0.043
Canada,2001,CAN,31002768,1.16E+12,9.67,1.645,111.69,19.003,42.29,7.195,331.52,56.404,76.16,12.958,16.08,2.736,0.02,0.003,0.33,0.056
Canada,2002,CAN,31322400,1.2E+12,10.05,1.676,110.7,18.456,38.83,6.474,349.27,58.232,75,12.504,15.51,2.586,0.02,0.003,0.41,0.068
Canada,2003,CAN,31619456,1.22E+12,9.42,1.601,109.56,18.624,38.73,6.584,336.14,57.14,74.37,12.642,19.34,3.288,0.02,0.003,0.69,0.117
Canada,2004,CAN,31911670,1.27E+12,9.8,1.637,99.9,16.692,40.44,6.757,338.4,56.541,89.76,14.997,19.25,3.216,0.01,0.002,0.94,0.157
Canada,2005,CAN,32215914,1.31E+12,9.16,1.476,102.86,16.577,36.88,5.944,361.96,58.334,91.4,14.73,16.65,2.683,0.02,0.003,1.57,0.253
Canada,2006,CAN,32531864,1.35E+12,8.94,1.469,95.92,15.765,40.42,6.643,352.89,58,97.28,15.989,10.49,1.724,0.02,0.003,2.47,0.406
Canada,2007,CAN,32862458,1.38E+12,8.99,1.418,106.47,16.788,43.01,6.782,367.62,57.967,92.83,14.638,12.23,1.928,0.03,0.005,3.01,0.475
Canada,2008,CAN,33218542,1.4E+12,7.98,1.256,100.8,15.871,39.63,6.24,377.49,59.437,95.35,15.013,10.03,1.579,0.04,0.006,3.79,0.597
Canada,2009,CAN,33593920,1.36E+12,8.94,1.456,84.72,13.801,45.27,7.375,368.69,60.06,89.46,14.573,10.04,1.636,0.11,0.018,6.64,1.082
Canada,2010,CAN,33963416,1.41E+12,10.3,1.697,86.45,14.241,52.78,8.695,351.39,57.887,90.03,14.831,7.1,1.17,0.26,0.043,8.72,1.437
Canada,2011,CAN,34323536,1.45E+12,10.21,1.6,79.9,12.518,62.53,9.797,375.72,58.865,92.94,14.561,6.21,0.973,0.57,0.089,10.19,1.597
Canada,2012,CAN,34691876,1.48E+12,10.91,1.714,69.35,10.895,63.24,9.935,380.27,59.74,94.2,14.799,6.38,1.002,0.88,0.138,11.31,1.777
Canada,2013,CAN,35063696,1.51E+12,11.04,1.684,70.54,10.758,60.29,9.195,391.79,59.752,102.72,15.666,6.66,1.016,1.5,0.229,11.15,1.7
Canada,2014,CAN,35404616,1.56E+12,9.8,1.501,69.38,10.625,65.05,9.962,382.5,58.578,106.54,16.316,4.76,0.729,2.12,0.325,12.82,1.963
Canada,2015,CAN,35732120,1.57E+12,9.99,1.511,64.96,9.826,67.98,10.283,382.19,57.813,101.1,15.293,5,0.756,2.89,0.437,26.97,4.08
Canada,2016,CAN,36113532,1.58E+12,11.36,1.7,65.02,9.731,65.82,9.851,385.43,57.686,100.72,15.074,4.84,0.724,4.03,0.603,30.93,4.629
Canada,2017,CAN,36554344,1.63E+12,11.15,1.665,62.81,9.38,61.46,9.178,394.59,58.928,100.6,15.024,3.92,0.585,3.57,0.533,31.51,4.706
Canada,2018,CAN,37035260,1.68E+12,10.54,1.593,53.02,8.015,70.74,10.694,385.89,58.335,100.03,15.121,4.02,0.608,3.8,0.574,33.47,5.06
Canada,2019,CAN,37522584,1.71E+12,10.31,1.572,50.14,7.643,72.94,11.118,381.77,58.194,100.49,15.318,3.42,0.521,4.08,0.622,32.88,5.012
Canada,2020,CAN,37888704,1.62E+12,9.55,1.462,40.3,6.168,76.37,11.689,386.55,59.163,97.51,14.924,3.04,0.465,4.28,0.655,35.76,5.473
Canada,2021,CAN,38155012,1.7E+12,9.86,1.524,35.83,5.54,83.37,12.89,382.79,59.185,91.98,14.221,3.01,0.465,5.17,0.799,34.76,5.374
Canada,2022,CAN,38454328,1.76E+12,8.52,1.292,35.49,5.38,84.24,12.77,398.44,60.402,86.64,13.134,2.78,0.421,6.01,0.911,37.53,5.689
China,2000,CHN,1264099072,5.95E+12,2.54,0.187,1060.26,78.213,5.77,0.426,222.41,16.407,16.74,1.235,47.27,3.487,0.02,0.001,0.59,0.044
China,2001,CHN,1272739584,6.33E+12,2.55,0.172,1129.14,76.253,4.93,0.333,277.43,18.735,17.47,1.18,48.52,3.277,0.03,0.002,0.72,0.049
China,2002,CHN,1280926080,6.81E+12,2.55,0.154,1282.57,77.543,4.19,0.253,287.97,17.41,25.13,1.519,50.71,3.066,0.05,0.003,0.84,0.051
China,2003,CHN,1288873344,7.25E+12,2.54,0.133,1519.97,79.555,5.16,0.27,283.68,14.848,43.34,2.268,54.83,2.87,0.06,0.003,1,0.052
China,2004,CHN,1296816768,7.83E+12,2.53,0.115,1722.42,78.174,7.46,0.339,353.54,16.046,50.47,2.291,65.53,2.974,0.08,0.004,1.28,0.058
China,2005,CHN,1304887552,8.6E+12,5.32,0.213,1980.15,79.198,12.14,0.486,397.02,15.879,53.09,2.123,50.51,2.02,0.08,0.003,1.95,0.078
China,2006,CHN,1313086592,9.49E+12,7.13,0.249,2302.42,80.344,23.82,0.831,435.79,15.207,54.84,1.914,37.92,1.323,0.09,0.003,3.71,0.129
China,2007,CHN,1321513216,1.04E+13,9.86,0.3,2656.7,80.959,33.91,1.033,485.26,14.788,62.13,1.893,28.09,0.856,0.11,0.003,5.48,0.167
China,2008,CHN,1330167168,1.08E+13,14.87,0.425,2708.91,77.491,34.57,0.989,636.96,18.221,68.39,1.956,18.81,0.538,0.15,0.004,13.1,0.375
China,2009,CHN,1339125632,1.16E+13,20.86,0.562,2911.52,78.38,56.56,1.523,615.64,16.573,70.05,1.886,12.12,0.326,0.28,0.008,27.61,0.743
China,2010,CHN,1348191360,1.29E+13,24.9,0.592,3233.6,76.859,77.73,1.848,711.38,16.909,74.74,1.776,34.71,0.825,0.7,0.017,49.4,1.174
China,2011,CHN,1357095424,1.37E+13,27.63,0.586,3690.87,78.312,108.77,2.308,688.04,14.599,87.2,1.85,33.8,0.717,2.61,0.055,74.1,1.572
China,2012,CHN,1366560768,1.48E+13,30.13,0.604,3748.19,75.151,110.25,2.211,862.79,17.299,98.32,1.971,31.22,0.626,3.59,0.072,103.05,2.066
China,2013,CHN,1376100352,1.59E+13,37.13,0.684,4077.37,75.067,116.39,2.143,909.61,16.747,111.5,2.053,33,0.608,8.37,0.154,138.26,2.545
China,2014,CHN,1385189632,1.71E+13,46.27,0.799,4203.06,72.536,133.28,2.3,1059.69,18.288,133.22,2.299,35.66,0.615,23.51,0.406,159.76,2.757
China,2015,CHN,1393715456,1.83E+13,54.07,0.93,4046.17,69.587,166.91,2.871,1114.52,19.168,171.38,2.947,36.46,0.627,39.48,0.679,185.59,3.192
China,2016,CHN,1401889664,1.95E+13,62.13,1.013,4156.35,67.768,188.28,3.07,1153.27,18.804,213.18,3.476,52.56,0.857,66.53,1.085,240.86,3.927
China,2017,CHN,1410275968,2.09E+13,79.6,1.205,4430.03,67.077,203.2,3.077,1165.06,17.641,248.1,3.757,56.05,0.849,117.8,1.784,304.6,4.612
China,2018,CHN,1417069440,2.23E+13,93.73,1.308,4763.92,66.478,215.5,3.007,1198.89,16.73,295,4.117,56.4,0.787,176.9,2.469,365.8,5.105
China,2019,CHN,1421864064,2.36E+13,112.73,1.502,4855.19,64.706,232.5,3.099,1272.54,16.959,348.7,4.647,52.47,0.699,224,2.985,405.3,5.402
China,2020,CHN,1424929792,2.42E+13,135.63,1.744,4921.96,63.272,252.5,3.246,1321.71,16.991,366.2,4.708,53.47,0.687,261.1,3.356,466.5,5.997
China,2021,CHN,1425893504,2.62E+13,165.93,1.944,5328.83,62.44,287.1,3.364,1300,15.233,407.5,4.775,62.1,0.728,327,3.832,655.8,7.684
China,2022,CHN,1425887360,2.7E+13,176.63,1.996,5397.8,61.001,290.58,3.284,1303.13,14.727,417.8,4.722,72.37,0.818,427.72,4.834,762.7,8.619
Colombia,2000,COL,39215136,3.31E+11,0.5,1.168,2.08,4.859,8.25,19.271,31.75,74.165,0,0,0.22,0.514,0.01,0.023,0,0
Colombia,2001,COL,39837876,3.36E+11,0.5,1.159,2.23,5.169,8.69,20.144,31.48,72.972,0,0,0.23,0.533,0.01,0.023,0,0
Colombia,2002,COL,40454056,3.45E+11,0.49,1.096,2.17,4.854,8.18,18.296,33.63,75.218,0,0,0.23,0.514,0.01,0.022,0,0
Colombia,2003,COL,41057688,3.58E+11,0.5,1.082,2.81,6.082,6.83,14.784,35.81,77.511,0,0,0.24,0.519,0.01,0.022,0,0
Colombia,2004,COL,41648272,3.77E+11,0.47,0.953,1.86,3.771,7.01,14.21,39.68,80.438,0,0,0.25,0.507,0.01,0.02,0.05,0.101
Colombia,2005,COL,42220944,3.94E+11,0.5,1.001,2.33,4.666,7.4,14.818,39.4,78.895,0,0,0.25,0.501,0.01,0.02,0.05,0.1
Colombia,2006,COL,42772912,4.2E+11,0.53,0.994,2.84,5.324,7.38,13.836,42.31,79.321,0,0,0.21,0.394,0.01,0.019,0.06,0.112
Colombia,2007,COL,43306592,4.49E+11,0.53,0.967,3.39,6.187,6.57,11.991,44,80.307,0,0,0.24,0.438,0.01,0.018,0.05,0.091
Colombia,2008,COL,43815316,4.64E+11,0.54,0.973,2.92,5.263,5.76,10.382,45.94,82.805,0,0,0.26,0.469,0.01,0.018,0.05,0.09
Colombia,2009,COL,44313916,4.71E+11,0.54,0.952,4.17,7.348,10.94,19.278,40.64,71.612,0,0,0.39,0.687,0.01,0.018,0.06,0.106
Colombia,2010,COL,44816104,4.9E+11,2.42,4.018,4.04,6.708,11.97,19.874,40,66.412,0,0,1.75,2.906,0.01,0.017,0.04,0.066
Colombia,2011,COL,45308896,5.21E+11,2,3.241,2.25,3.647,7.64,12.382,48.39,78.428,0,0,1.37,2.22,0.01,0.016,0.04,0.065
Colombia,2012,COL,45782420,5.42E+11,1.95,3.092,3.36,5.328,8.99,14.256,47.11,74.707,0,0,1.59,2.521,0.01,0.016,0.05,0.079
Colombia,2013,COL,46237928,5.7E+11,1.05,1.428,6.04,8.217,15.36,20.895,49.76,67.691,0,0,1.23,1.673,0.01,0.014,0.06,0.082
Colombia,2014,COL,46677944,5.95E+11,1.35,1.916,5.46,7.749,14.24,20.21,47.25,67.059,0,0,2.08,2.952,0.01,0.014,0.07,0.099
Colombia,2015,COL,47119728,6.13E+11,1.37,1.757,7.06,9.055,17.95,23.022,47.94,61.485,0,0,3.57,4.579,0.01,0.013,0.07,0.09
Colombia,2016,COL,47625960,6.26E+11,1.46,1.917,6.18,8.113,15.9,20.874,48.46,63.621,0,0,4.11,5.396,0.01,0.013,0.05,0.066
Colombia,2017,COL,48351668,6.34E+11,1.42,1.81,3.15,4.014,11.01,14.031,60.64,77.278,0,0,2.24,2.855,0.01,0.013,0,0
Colombia,2018,COL,49276968,6.5E+11,1.45,1.854,4.52,5.779,11.62,14.857,58.19,74.402,0,0,2.37,3.03,0.02,0.026,0.04,0.051
Colombia,2019,COL,50187404,6.71E+11,1.57,1.993,8.13,10.32,13.16,16.705,52.98,67.251,0,0,2.75,3.491,0.13,0.165,0.06,0.076
Colombia,2020,COL,50930656,6.22E+11,2.15,2.756,9.37,12.013,15.19,19.474,48.44,62.103,0,0,2.65,3.397,0.19,0.244,0.01,0.013
Colombia,2021,COL,51516560,6.91E+11,2.24,2.653,4.5,5.33,13.76,16.299,60.7,71.902,0,0,2.83,3.352,0.33,0.391,0.06,0.071
Colombia,2022,COL,51874028,7.43E+11,2.18,2.558,4.4,5.164,16.76,19.669,58.73,68.924,0,0,2.75,3.227,0.33,0.387,0.06,0.07
Colombia,2023,COL,52085168,,2.18,2.513,8.51,9.811,17.6,20.291,54.24,62.532,0,0,2.96,3.412,1.04,1.199,0.21,0.242
Ecuador,2000,ECU,12626511,85978890240,0,0,0,0,0,0,7.53,71.51,0,0,3,28.49,0,0,0,0
Ecuador,2001,ECU,12845523,90060701696,0,0,0,0,0,0,7,63.752,0,0,3.98,36.248,0,0,0,0
Ecuador,2002,ECU,13070617,94404509696,0,0,0,0,0.48,4.064,7.45,63.082,0,0,3.88,32.854,0,0,0,0
Ecuador,2003,ECU,13301188,97642545152,0,0,0,0,0.94,8.188,7.11,61.934,0,0,3.43,29.878,0,0,0,0
Ecuador,2004,ECU,13534598,1.06E+11,0,0,0,0,1.24,9.688,7.34,57.344,0,0,4.22,32.969,0,0,0,0
Ecuador,2005,ECU,13770015,1.13E+11,0.02,0.158,0,0,1.48,11.709,6.81,53.877,0,0,4.33,34.256,0,0,0,0
Ecuador,2006,ECU,14009064,1.19E+11,0.02,0.142,0,0,1.79,12.713,7.06,50.142,0,0,5.21,37.003,0,0,0,0
Ecuador,2007,ECU,14251838,1.22E+11,0.02,0.116,0,0,2.01,11.652,8.95,51.884,0,0,6.27,36.348,0,0,0,0
Ecuador,2008,ECU,14496800,1.31E+11,0.02,0.108,0,0,1.72,9.302,11.18,60.465,0,0,5.57,30.124,0,0,0,0
Ecuador,2009,ECU,14742768,1.32E+11,0.02,0.11,0,0,1.9,10.463,9.13,50.275,0,0,7.11,39.152,0,0,0,0
Ecuador,2010,ECU,14989581,1.38E+11,0.02,0.103,0,0,2.19,11.277,8.55,44.027,0,0,8.66,44.593,0,0,0,0
Ecuador,2011,ECU,15237734,1.5E+11,0.01,0.049,0,0,1.94,9.496,11.02,53.94,0,0,7.46,36.515,0,0,0,0
Ecuador,2012,ECU,15483884,1.58E+11,0.02,0.088,0,0,2.34,10.295,12.12,53.322,0,0,8.25,36.296,0,0,0,0
Ecuador,2013,ECU,15722988,1.66E+11,0.04,0.173,0,0,2.83,12.219,10.93,47.193,0,0,9.3,40.155,0,0,0.06,0.259
Ecuador,2014,ECU,15957995,1.72E+11,0.06,0.248,0,0,2.91,12.03,11.34,46.879,0,0,9.78,40.43,0.02,0.083,0.08,0.331
Ecuador,2015,ECU,16195904,1.73E+11,0.09,0.348,0,0,2.81,10.879,12.97,50.213,0,0,9.82,38.018,0.04,0.155,0.1,0.387
Ecuador,2016,ECU,16439588,1.7E+11,0.49,1.804,0,0,2.02,7.437,15.68,57.732,0,0,8.85,32.585,0.04,0.147,0.08,0.295
Ecuador,2017,ECU,16696947,1.74E+11,0.46,1.653,0,0,1.73,6.216,19.89,71.47,0,0,5.64,20.266,0.04,0.144,0.07,0.252
Ecuador,2018,ECU,17015672,1.77E+11,0.43,1.481,0,0,1.34,4.614,20.47,70.489,0,0,6.68,23.003,0.04,0.138,0.08,0.275
Ecuador,2019,ECU,17343742,1.77E+11,0.45,1.393,0,0,1.25,3.869,24.66,76.323,0,0,5.82,18.013,0.04,0.124,0.09,0.279
Ecuador,2020,ECU,17588596,1.63E+11,0.47,1.502,0,0,1.15,3.675,24.33,77.756,0,0,5.22,16.683,0.04,0.128,0.08,0.256
Ecuador,2021,ECU,17797736,1.7E+11,0.41,1.276,0,0,1.13,3.518,25.57,79.608,0,0,4.91,15.286,0.04,0.125,0.06,0.187
Ecuador,2022,ECU,18001002,1.75E+11,0.43,1.317,0,0,1.16,3.553,25.9,79.326,0,0,5.06,15.498,0.04,0.123,0.06,0.184
France,1990,FRA,56412896,1.64E+12,1.41,0.339,31.47,7.564,3.03,0.728,52.71,12.669,314.08,75.493,12.84,3.086,0,0,0,0
France,1991,FRA,56645216,1.65E+12,1.59,0.353,39.61,8.796,3.05,0.677,56.32,12.506,331.34,73.576,17.91,3.977,0,0,0,0
France,1992,FRA,56864048,1.68E+12,1.62,0.353,34.23,7.465,3.18,0.694,67.48,14.716,338.45,73.81,13.06,2.848,0,0,0,0
France,1993,FRA,57053728,1.67E+12,1.48,0.316,20.96,4.478,3.5,0.748,63.3,13.524,368.19,78.661,10.15,2.168,0,0,0,0
France,1994,FRA,57230064,1.71E+12,1.66,0.351,20.9,4.42,3.63,0.768,77.03,16.291,359.98,76.131,9.14,1.933,0,0,0,0
France,1995,FRA,57420356,1.75E+12,1.82,0.372,24.18,4.941,3.84,0.785,71.33,14.575,377.23,77.079,10.5,2.145,0,0,0,0
